domain,tld,email_type,spon_registrar,keyword,httpcode,locate_cmp,web_judge_result
lehmanbrown.com,1,12,12,2,2,2,yes
ierebcrt.cc,3,1,6,1,3,1,no
lb55.cc,3,0,0,1,4,2,no
ccbcnat.cc,3,8,2,1,3,1,no
ccikac.com,1,1,2,1,3,1,no
abchlua.cc,3,2,8,1,3,1,no
gsjfkm.com,1,0,0,1,3,2,no
cbizko.cc,3,2,8,1,3,1,no
cbansy.cc,3,2,12,1,3,1,no
cbeas.cc,3,3,7,1,3,1,no
95533sgc.cc,3,1,8,1,4,1,no
china-ntm.com,1,12,2,2,2,1,yes
hnyjdw.com,1,12,2,2,4,1,no
ppmwt.com,1,0,0,1,3,2,no
11169.net,4,0,0,1,4,2,yes
crashsite.com.ar,16,0,0,2,4,2,no
icduv.com,1,0,0,1,4,2,no
icdckn.com,1,2,8,1,3,1,no
95588yyj.cc,3,2,2,1,4,1,no
cqbjjz.com,1,12,12,4,4,1,yes
kuwowang68.com,1,0,0,2,3,2,no
chinaseedtrays.com,1,0,0,1,2,1,no
oqdgv.cc,3,5,1,1,3,2,no
3614.com,1,0,0,4,2,2,no
icbcso.com,1,0,0,1,4,2,no
biyibi73.com,1,0,0,1,3,1,no
tbfcf.cc,3,0,0,1,3,2,no
wrfbp.com,1,0,0,1,3,2,no
sakdhaskdffcai.cc,3,1,2,1,3,1,no
031878.com,1,1,12,1,3,1,no
4399sqb.com,1,12,12,2,2,1,no
zhenyang.com,1,12,12,1,2,1,yes
10086jdqx.com,1,1,2,1,3,1,no
95599djc.cc,3,0,0,1,3,2,no
wicbcz.com,1,2,2,1,3,1,no
vip95588c.cc,3,1,8,1,3,1,no
sn-ccb.com,1,12,2,1,3,1,no
icbc0.com,1,0,0,1,3,2,no
xymyw.com,1,1,1,2,2,2,no
sncbbsw.cc,3,1,6,1,3,1,no
268kk.com,1,12,12,2,4,1,no
7537727.com,1,0,0,1,3,2,no
xc-ccb.com,1,8,10,2,2,1,no
cvdzwu.com,1,2,6,1,4,1,no
230ys.com,1,0,0,1,3,2,no
bttp.science,16,12,12,2,3,2,no
gsyhdk.com,1,2,2,1,3,1,no
520cr.com,1,1,2,1,1,1,no
guide-way.com,1,12,1,4,4,2,yes
desantiago.com,1,12,12,1,2,2,no
ccuvae.cc,3,5,1,1,3,2,no
01zc.com,1,5,1,2,2,2,yes
asdffgaerhgas.gq,16,0,0,1,3,2,no
jxrtv.com,1,8,12,2,2,1,yes
ru10086.cc,3,2,8,1,3,1,no
psy-ctx.cc,3,1,4,1,3,1,no
cbbcps.cc,3,1,2,1,3,1,no
368taoshouyou.com,1,0,0,1,3,1,no
ccbeup.cc,3,0,0,1,3,2,no
ccbcnor.cc,3,8,2,1,3,1,no
jixiangdc.com,1,12,2,2,2,1,yes
0184.info,6,12,12,1,2,2,yes
wap-9s588.cc,3,3,2,1,3,1,no
yqjyrzxt.tk,14,0,0,1,2,2,no
jytghg.pw,11,0,0,1,2,1,no
1390371.net,4,2,2,2,2,1,yes
lcbea.com,1,0,0,1,3,1,no
ccbesy.cc,3,5,1,1,3,2,no
huaxiayh.com,1,1,2,1,4,1,no
95588og.cc,3,1,8,1,2,1,no
092000.com,1,0,0,1,2,2,no
icloudcapital.org,5,12,12,1,4,1,yes
ccberk.cc,3,0,0,1,3,2,no
jjhhgema.com,1,0,0,2,3,1,no
860289.com,1,0,0,4,2,2,no
amicbc.com,1,2,2,1,3,1,no
greenzoom.cn,2,3,12,1,1,1,yes
daogout.com,1,3,12,1,4,1,yes
rqdsj.com,1,0,0,1,2,1,no
011xpj.com,1,0,0,1,4,2,no
pp888.net,4,0,3,1,2,2,no
clline.com,1,1,12,2,1,1,yes
531118.com,1,12,11,2,2,1,no
doczj.com,1,0,3,2,2,2,yes
xianjinqipai.com,1,12,12,2,2,2,yes
45598p.com,1,0,0,4,2,2,no
ccumaq.cc,3,5,1,1,3,2,no
92xiaohua.com,1,0,0,2,2,2,yes
95588it.com,1,12,12,1,3,1,no
95533yij.cc,3,2,8,1,3,1,no
ccdsca.com,1,1,10,2,2,1,no
ccb-ha.com,1,0,0,2,2,2,no
syjypt8.com,1,0,0,1,2,2,no
iuvjf.com,1,12,10,1,3,2,no
557178.com,1,0,0,1,2,2,no
unhgf.cc,3,1,2,1,3,1,no
paiw168.com,1,0,0,2,2,2,no
kmdjwb.cc,3,5,1,1,3,2,no
ccbwt.cc,3,5,1,1,3,1,no
1915566.com,1,12,12,2,3,1,no
95588dfi.cc,3,2,8,1,3,1,no
365sugou.com,1,0,0,1,4,2,yes
51emc.com,1,12,6,1,3,1,yes
icbta.cc,3,12,1,1,3,2,no
ixbtu.com,1,0,0,1,3,2,no
ojfienc.com,1,0,0,1,3,2,no
sxabt.com,1,12,12,2,2,2,yes
iydfc.com,1,0,0,1,4,2,no
cobeninc.cn,2,0,0,1,3,2,no
tyc605.com,1,0,0,4,2,2,no
sonkwo.com,1,12,1,2,2,2,yes
ahxinsiwei.com,1,12,2,2,2,1,yes
668128.com,1,1,12,2,2,2,no
cvbshtyjsgd.tk,14,0,0,1,2,2,no
234103.com,1,0,0,4,2,2,no
iccnbc.com,1,0,0,1,3,1,no
icbcdsb.pw,11,0,0,1,2,1,no
ccita.cc,3,1,2,1,3,1,no
bccrd.cc,3,1,12,1,3,1,no
opencartchina.com,1,0,0,1,2,2,yes
ccbmk.cc,3,5,1,1,3,1,no
95588dh.com,1,0,0,1,3,2,no
tbpyn.com,1,0,0,1,3,2,no
zzmxms.cn,2,3,12,2,2,2,yes
zhuangxiuluntan.cn,2,2,12,1,4,2,no
cboxkt.cc,3,12,8,1,3,1,no
sy8swpt.com,1,0,0,1,3,2,no
95588myp.cc,3,2,8,1,3,1,no
wapicbrc.cc,3,2,2,1,4,1,no
pnjohnwlne.win,12,0,0,2,2,1,no
wap-cirbc.cc,3,3,2,1,4,1,no
99hh.net,4,0,12,4,3,2,no
95533aifccb.com,1,2,12,1,4,1,no
cc10086fu.com,1,0,0,1,3,2,no
pay-ccf.cc,3,0,0,1,3,2,no
nvzhubo.net,4,1,12,1,3,1,no
zjzgrs.cn,2,0,0,2,3,2,no
557088.com,1,0,0,1,4,2,no
jswety.com,1,10,10,1,3,2,no
4437vip.com,1,0,0,4,2,2,no
365133.com,1,0,0,4,2,2,no
tctldoj.pw,11,0,0,1,4,1,no
amjs00.cc,3,0,0,1,2,2,no
fzpin.com,1,1,12,1,3,1,no
esuliao.com,1,0,9,1,4,2,yes
ivpcv.com,1,0,0,1,3,1,no
ccbxzt.cc,3,5,1,1,4,2,no
icbey.cc,3,12,1,1,3,2,no
7935v.com,1,0,0,4,2,2,no
psy-aix.cc,3,3,2,1,4,1,no
cqustbbs.cn,2,12,12,1,3,2,no
fmfqh.com,1,0,0,1,3,2,no
10086cks.pw,11,0,0,1,3,1,no
dyndns.com,1,12,12,1,2,2,yes
5pk.net,4,0,0,1,2,2,no
17avi.com,1,0,0,3,4,2,no
ghjfwb.net,4,0,0,1,3,2,no
guanjiajia.org,5,2,12,1,4,1,yes
wrfmh.com,1,0,0,1,3,2,no
xhlongtai.com.cn,2,0,0,1,3,2,yes
1futong.com,1,12,1,2,3,2,yes
95588cuu.xyz,15,0,0,1,4,1,no
jfdrytr.pw,11,0,0,1,2,1,no
ccbvcjs.com,1,0,0,1,3,2,no
jjchs888.com,1,0,0,1,3,1,no
wap-cvebi.cc,3,3,2,1,3,1,no
applelosid.com,1,2,10,1,2,2,no
tx-wx.cc,3,1,6,1,4,1,no
95588hnt.cc,3,1,8,1,3,1,no
788017.com,1,12,11,4,1,1,no
wulinshe.com,1,2,1,3,2,2,yes
ccboup.cc,3,5,1,1,3,2,no
483777.com,1,0,0,1,3,2,no
45598v.com,1,0,0,4,2,2,no
xekwg.cn,2,3,12,1,4,2,no
95599-xc.pw,11,0,0,1,4,1,no
5ifit.com,1,12,4,2,2,1,yes
ascottchina.com,1,12,2,2,2,1,yes
cpy-iccb.cc,3,1,2,1,3,1,no
dk755.com,1,0,3,2,2,1,no
696017.com,1,0,0,4,4,2,no
qzrbx.com,1,2,1,1,1,2,yes
cbbphe.cc,3,1,6,1,3,1,no
ccbpcn.com,1,0,0,1,2,2,yes
ccbbju.cc,3,5,1,1,3,2,no
pey-accb.cc,3,2,2,1,3,1,no
5566524.com,1,0,0,4,2,2,no
youxiczvv602.com,1,0,0,2,3,2,no
95533em.cc,3,12,8,1,3,1,no
icbcqii.com,1,0,0,1,3,1,no
costoon.com,1,12,1,1,2,2,yes
769999.com,1,0,0,4,2,2,no
20256.com,1,1,7,1,4,1,no
pdstygg.com,1,12,4,1,4,2,yes
ccbruk.cc,3,5,1,1,3,2,no
40158.com,1,1,1,1,2,2,no
worldmarte.com,1,5,1,2,2,2,yes
485500.com,1,0,0,1,3,2,no
tzascdd.cc,3,1,6,1,4,1,no
fyglj.com,1,0,0,1,3,2,no
cbaae.cc,3,12,7,1,3,1,no
vbdmhgtrdh.tk,14,0,0,1,2,2,no
wap-cocbc.com,1,3,10,1,3,2,no
480846.com,1,0,0,1,4,2,no
no1cp.com,1,12,8,1,3,1,yes
se55.info,6,3,12,3,2,2,no
95555-com.pw,11,0,0,1,2,1,no
rsxtd.com,1,0,0,1,3,2,no
yy1oo86.com,1,2,8,1,3,1,no
pay-iccb.top,13,0,0,1,3,1,no
ddkjg.com,1,2,1,1,3,2,no
cvirt.cc,3,0,0,1,3,2,no
95588inl.cc,3,0,0,1,3,2,no
521jzw.com,1,0,0,4,3,1,no
sofang.com,1,8,2,2,2,1,yes
concerone.com,1,2,2,2,2,1,yes
icbeu.cc,3,3,8,1,3,1,no
gjso.com,1,12,1,2,2,2,yes
l0086kdjc.com,1,0,0,1,3,1,no
95599tab.com,1,12,2,1,3,1,no
3322.net,4,12,10,1,1,1,yes
yzgo.net,4,12,12,1,2,2,no
hdxw.com,1,0,0,1,4,2,yes
izbau.com,1,1,12,1,3,1,no
zcxygoping669.com,1,0,0,1,3,2,no
56888.net,4,12,12,1,4,1,yes
l0086ccr.com,1,1,10,1,3,2,no
jsoil.net,4,3,2,1,3,1,yes
homenice.com.cn,2,2,12,2,2,2,yes
sjzdjbb.cc,3,1,6,1,3,1,no
qiucinews.com,1,12,1,1,4,1,yes
41kxw.com,1,0,0,2,2,2,no
zhmc123.com,1,0,12,2,2,2,yes
cvcdc.com,1,1,12,1,2,1,no
ccbwp.cc,3,5,1,1,3,2,no
icbclb.com,1,1,8,1,3,1,no
33141.com,1,1,7,1,4,1,no
km-airnet.net,4,0,0,2,2,2,no
pay-ccr.cc,3,0,0,1,3,2,no
ccbccb.cc,3,2,8,1,4,1,no
52lytuan.com,1,5,1,2,2,2,yes
tywx.com,1,0,0,2,2,2,yes
7935x.com,1,0,0,4,2,2,no
mbgworld.com,1,2,2,1,2,1,yes
10086kda.pw,11,0,0,1,4,1,no
alnuri.com,1,12,12,2,2,1,yes
95588het.cc,3,1,8,1,3,1,no
gshwzq.cc,3,5,1,1,3,2,no
ctcadc.cc,3,1,6,1,3,1,no
hheed.com,1,12,12,1,2,2,no
smkjfw.com,1,12,12,1,4,1,yes
371z.com,1,0,3,2,1,2,no
cmcbyaa.net,4,0,0,1,3,2,no
0163c.com,1,12,11,2,2,1,no
scgwjt.com,1,12,4,2,2,2,yes
95588lnt.cc,3,1,8,1,3,1,no
wjsdkj546427.com,1,0,0,1,3,1,no
usazz.us,16,1,12,2,2,1,no
26937.biz,9,1,12,1,3,1,no
hg00288.com,1,3,10,1,4,1,no
ccbfcb.com,1,0,0,1,3,2,no
21humanface.com,1,0,0,2,3,1,no
95588icbv.com,1,2,2,1,3,1,no
022bhbj.com,1,12,12,1,4,1,yes
motouch.net,4,0,0,1,4,2,yes
muentang.org,5,12,12,1,4,1,yes
dacf.cn,2,12,12,1,4,2,yes
pianyiduo.net,4,0,12,1,2,2,yes
gsyhwt.net,4,2,2,1,3,1,no
zzgpl.com,1,0,0,1,2,2,yes
xp10086.pw,11,0,0,1,4,1,no
dayue.me,8,3,4,1,4,1,no
56666.com,1,0,0,4,4,2,no
cvvvb.com,1,0,0,1,3,2,no
ccbmdy.cc,3,5,1,1,3,2,no
208800.com,1,0,0,1,1,2,no
menkea.com,1,12,4,1,4,2,yes
42668.com,1,1,2,4,2,1,no
jkpin.com,1,12,12,2,2,2,no
wap-mcbc.cc,3,1,2,1,4,1,no
bqbxc.com,1,1,12,4,2,1,no
95533aniccb.com,1,2,12,1,4,1,no
udzhi.pw,11,0,0,2,2,1,no
zgsjnkys.cn,2,12,12,2,4,2,no
zkxca.com,1,1,10,2,2,2,no
95533dz.win,12,0,0,1,4,1,no
cvmid.cc,3,0,0,1,3,2,no
gdydts.com,1,12,2,1,1,1,no
szshichuang.com,1,1,6,4,2,1,no
369k.net,4,1,2,1,4,1,yes
wallcoo.com,1,1,1,2,2,2,yes
95588-r.com,1,0,0,1,3,2,no
10086kdc.pw,11,0,0,1,4,1,no
jtpk8.com,1,1,2,2,3,1,yes
enmotech.com,1,12,12,2,2,2,yes
cunbao963.com,1,0,0,2,3,2,no
fafkl.com,1,0,0,1,2,2,no
icbcqr-xyk.com,1,0,0,1,3,2,no
99jee.com,1,0,9,2,2,2,yes
wap-ivcbc.cc,3,3,2,1,3,1,no
ibchr.com,1,0,0,2,2,2,no
ccbmts.cc,3,5,1,1,4,2,no
55555dk.com,1,0,0,1,3,1,no
kj455.com,1,0,0,1,2,2,no
2beian.com,1,1,10,4,3,2,yes
ccumot.cc,3,5,1,1,3,2,no
l0086yys.com,1,1,10,1,3,2,no
95588szy.cc,3,2,8,1,3,1,no
qcyahua.com,1,1,12,4,2,1,no
l0086gey.com,1,0,0,1,3,2,no
0141222.com,1,0,0,2,4,2,no
bl-l.pw,11,0,0,1,4,1,no
ewincity.net,4,0,0,4,4,2,no
833167.com,1,0,0,1,3,2,no
vrbjy.com,1,0,0,1,3,1,no
chickenkiller.com,1,12,12,1,2,2,yes
ccivb.com,1,0,0,1,4,2,no
ccbprys.cc,3,5,1,1,3,2,no
bocmg.cc,3,0,0,1,3,2,no
qzzyfc.com,1,1,2,1,1,1,yes
ccbiqf.cc,3,5,1,1,4,2,no
ccumop.cc,3,5,1,1,3,2,no
ccbstu.cc,3,0,0,1,3,2,no
lcbcz.com,1,0,0,1,3,2,no
ag-95588.com,1,0,0,1,3,2,no
95588yic.cc,3,1,8,1,4,1,no
561633.com,1,0,0,4,2,2,no
wap-95588gza.pw,11,0,0,1,4,1,no
667698.com,1,0,0,2,3,2,no
kuqiao123.com,1,1,12,1,4,1,yes
tqsy.com.cn,2,12,12,1,4,2,yes
fw888.com,1,12,12,2,2,1,no
554925.com,1,1,6,1,1,1,no
sjbdc.com,1,0,0,2,4,2,yes
fl78.com,1,2,12,1,4,1,yes
caibwh.com,1,0,0,2,4,2,no
mmjqx.cn,2,4,12,1,2,2,yes
bbt999.com,1,2,1,2,4,2,yes
rfeda.cn,2,3,12,1,1,2,yes
dhy300.com,1,0,0,4,2,2,no
eyu.com,1,0,3,1,1,2,yes
ccbmguh.cc,3,5,1,1,3,2,no
40ao.com,1,1,1,2,2,2,yes
xhzzz.com,1,1,12,1,3,1,yes
182w.com,1,0,3,1,4,2,yes
vns1567.com,1,0,0,1,3,2,no
ghyfce.com,1,2,2,1,3,1,no
yyl.cc,3,1,2,1,4,1,no
vidown.cn,2,12,12,2,2,2,yes
bnmppgroup2016gov.top,13,0,0,1,3,1,no
iccrg.com,1,0,0,1,2,1,no
dyrer.cc,3,5,1,1,3,2,no
bbqyq.cn,2,1,12,2,2,2,no
2neyemed.com,1,12,12,2,2,1,yes
qnwer.com,1,3,1,1,4,2,yes
7627797.com,1,0,0,1,3,2,no
duote.org,5,12,12,1,2,1,yes
huaguow.com,1,0,0,2,3,2,no
555789n.com,1,0,0,2,2,2,no
ra79.biz,9,12,12,2,2,1,no
9999av.com,1,12,12,1,4,2,yes
ccbebs.cc,3,5,1,1,3,2,no
035573.com,1,0,0,1,4,2,no
bjjcxs.cn,2,1,12,1,4,2,yes
fzcong.com,1,0,0,1,3,1,no
baodaiw.com,1,2,12,1,2,1,yes
abohlua.cc,3,2,8,1,4,1,no
kj144.com,1,0,0,1,2,2,no
juanxincai.com.cn,2,1,12,1,1,2,yes
ljqingzhai.com,1,9,10,1,4,2,no
za10086.pw,11,0,0,1,4,1,no
vxcxth.pw,11,0,0,2,2,1,no
3548.cc,3,12,12,2,2,1,no
aizke.com,1,12,12,4,2,1,yes
gshfzq.cc,3,5,1,1,3,2,no
cbcil.com,1,0,0,1,3,2,no
xingshilawyer.com,1,12,12,2,1,1,no
sonicbbs.com.cn,2,3,12,2,2,2,yes
ujmki.com,1,0,0,1,3,2,no
ccbiu.cc,3,5,1,1,3,2,no
7y88.com,1,2,7,4,2,1,yes
cbbzsav.cc,3,1,6,1,4,1,no
ghjfkb.com,1,0,0,1,3,2,no
ccbrgf.cc,3,5,1,1,3,1,no
ccbyrea.com,1,2,10,2,2,1,no
ccbpta.com,1,1,10,2,2,2,no
128800.com,1,0,0,2,2,2,no
sadkflkpppamrty.cc,3,1,2,1,3,1,no
95533gyj.cc,3,1,8,1,4,1,no
7yum.com,1,2,12,2,2,1,yes
95599-c.cn,2,1,12,1,4,2,no
xykccb.com,1,10,10,1,3,2,no
gy-95588.com,1,0,0,1,3,2,no
ccbobb.cc,3,1,8,1,4,1,no
444548.com,1,0,0,1,4,2,no
ccvbeyn.com,1,1,2,1,3,1,no
ghyfcw.com,1,2,2,1,3,1,no
jfwfhsmafgm86.com,1,12,10,1,2,2,no
cbaxin.cc,3,2,12,1,3,1,no
ccbtek.cc,3,5,1,1,3,2,no
dzhk.net,4,0,12,2,2,2,yes
l0086dyc.com,1,1,10,1,3,2,no
42878.com,1,12,7,1,4,1,yes
139cai.com,1,2,1,1,2,2,yes
fuli4.com,1,12,12,2,2,1,yes
ccbevi.cc,3,5,1,1,3,2,no
mtycac.pw,11,0,0,1,2,1,no
ijn95588.cc,3,2,8,1,3,1,no
youg888.com,1,0,0,4,2,2,no
lcbciccb.cc,3,1,1,1,3,2,no
95533px.com,1,3,10,2,3,1,no
psy-cdb.cc,3,1,4,1,3,1,no
ccgfeds.com,1,1,2,1,3,1,no
95533itwccb.com,1,2,12,1,1,1,no
cqhyfood.com,1,9,10,2,3,2,no
wljyptyx6623.com,1,0,0,1,3,1,no
gdttl.com,1,0,0,2,3,2,no
jiulhf.com,1,1,12,1,2,1,no
chnjoa.cc,3,1,8,1,3,1,no
yhgouwu.com,1,12,4,1,4,2,yes
37425.com,1,0,0,1,4,2,yes
icbc-com.pw,11,0,0,1,4,1,no
cbbcyd.cc,3,1,2,1,3,1,no
kele55.com,1,12,2,2,2,1,yes
golfreader.com,1,12,11,2,3,1,yes
icbcezj.com,1,0,0,1,3,2,no
35qp0.com,1,0,0,1,4,2,no
636565.com,1,0,0,4,2,2,no
1hkj.com,1,0,0,1,3,1,no
gsyhwr.com,1,2,2,1,3,1,no
ccbuix.cc,3,2,2,1,3,1,no
laxjyj.com,1,2,12,2,3,1,yes
m-ccbx.cc,3,1,2,1,3,1,no
ccbjas.com,1,0,0,1,4,2,no
l95588e.cc,3,5,1,1,3,2,no
icbcthg.cc,3,1,2,1,4,1,no
bbrkc.cn,2,1,12,2,2,2,no
ccbsn.cc,3,8,2,1,3,1,no
ptcms.com,1,2,7,2,2,1,yes
ccbtkj.cc,3,5,1,1,3,2,no
jwfanyi.com,1,3,2,2,2,1,yes
cxiez.cc,3,0,0,1,3,2,no
516buyu.cn,2,2,12,1,1,2,no
cnuxih.pw,11,0,0,2,2,1,no
iicbcz.com,1,2,2,1,3,1,no
2sc966.com,1,12,12,2,2,2,yes
cbsun.cc,3,5,1,1,3,2,no
icpvx.com,1,0,0,1,3,1,no
jgxfw.com,1,1,2,1,1,1,yes
psy-cuk.cc,3,0,0,1,3,2,no
68hufu.com,1,0,0,1,1,2,yes
mgm11333.com,1,0,0,4,2,2,no
555789h.com,1,0,0,2,2,2,no
899899.cc,3,0,0,2,2,2,no
l0086kvxt.com,1,2,12,1,4,1,no
psy-cgy.cc,3,1,4,4,2,2,no
cride.com,1,12,12,2,2,2,yes
tuanyuanfan.cc,3,0,0,1,3,2,yes
gsyhwx.com,1,2,4,1,3,1,no
lcbsj.com,1,0,0,1,2,2,no
httpibc.com,1,0,0,1,3,2,no
099y.com,1,5,1,2,2,2,yes
gsjfks.com,1,2,4,1,3,1,no
hz12311.com,1,2,1,2,2,2,yes
978c.com,1,1,4,2,3,1,no
intepower.com,1,8,1,2,4,2,yes
668av.com,1,12,8,2,4,1,yes
hg3099.com,1,0,0,2,2,1,no
89699.com,1,0,0,1,4,2,no
gupang.com,1,0,12,2,2,2,yes
ccbryv.cc,3,5,1,1,3,2,no
050406.com,1,0,0,4,2,2,no
hx95588.cc,3,1,4,1,2,1,no
tudou.com,1,12,1,2,2,1,yes
ccbdtf.cc,3,5,1,1,3,2,no
ccbfgu.cc,3,5,1,1,3,2,no
l0086pct.com,1,1,2,1,3,1,no
gsyhvd.com,1,2,2,1,3,1,no
kmyxje.cc,3,5,1,1,3,1,no
ciqwv.cc,3,1,6,1,4,1,no
0086hb.com.cn,2,12,12,1,3,2,yes
145-com.net,4,1,7,2,4,1,no
cqgw580.com,1,0,0,1,4,2,no
95588yhc.com,1,0,0,1,3,2,no
562570.com,1,0,0,4,2,2,no
tt170.com,1,0,0,2,4,2,yes
772138.com,1,0,0,1,4,2,no
vip95588k.com,1,1,8,1,3,1,no
43568.com,1,0,0,4,2,2,no
81397.com,1,12,11,4,2,1,no
125job.net,4,0,0,1,3,2,no
uwtyr.com,1,12,10,1,4,2,no
fzfisher.com,1,2,12,2,4,1,yes
boo-loo.net,4,12,10,1,2,2,no
ccbvkz.cc,3,5,1,1,3,2,no
diyishuadan.com,1,1,2,2,2,1,yes
1489a.com,1,0,0,1,2,2,no
yingke997.com,1,0,0,2,2,2,no
555789y.com,1,0,0,2,2,2,no
sp000.com,1,0,0,1,2,2,yes
icdcxb.cc,3,1,4,1,4,1,no
axwat.com,1,0,0,1,4,2,no
988082.com,1,0,0,4,2,2,no
wangjiang.gov.cn,2,1,12,2,2,2,yes
hdfuaweh.pw,11,0,0,1,4,1,no
95588if.cc,3,1,8,1,3,1,no
cossoo.com,1,0,0,1,3,2,no
ccbugu.cc,3,5,1,1,3,2,no
icbc-t.com,1,0,0,1,3,2,no
cbbeta.cc,3,1,6,1,3,1,no
ccbyvf.cc,3,0,0,1,3,2,no
nfiencv.cc,3,1,4,1,3,1,no
qqq258.com,1,0,0,1,1,1,no
120dvd.com,1,0,0,1,3,2,yes
icbctee.com,1,0,0,2,3,1,no
999806.com,1,0,0,1,2,2,no
ccbstar.info,6,0,0,1,3,2,no
77755.com,1,0,0,1,2,2,no
faerhgsdfagd.tk,14,0,0,1,3,2,no
sesese9.com,1,0,0,1,4,2,yes
bjsj1.pw,11,0,0,1,4,1,no
675066.com,1,0,0,2,3,2,no
icbc-fv.com,1,0,0,1,3,2,no
sksc.net,4,1,2,1,4,1,no
95588bvp.cc,3,1,12,1,4,1,no
ccbokk.cc,3,5,1,1,3,1,no
hg0008.com,1,0,3,1,1,2,no
3308.com,1,0,0,2,2,2,no
ccbktr.com,1,1,10,2,2,2,no
tyc106.com,1,0,0,4,2,2,no
775588.com,1,12,6,4,3,1,no
gdhoc.com,1,0,0,1,1,2,no
gnhclub.com,1,12,12,4,2,1,no
ccbmek.com,1,0,0,1,1,2,no
1400649108.tk,14,0,0,1,3,2,no
webtrn.cn,2,12,12,2,2,2,yes
ccbooi.cc,3,1,8,1,4,1,no
gsksjf.com,1,0,0,1,3,2,no
1799n.com,1,2,2,2,2,1,yes
0jiang.com,1,5,1,1,4,2,yes
e-fa.cn,2,3,12,1,4,2,yes
tyzclh.cn,2,3,12,2,2,1,no
ccbddn.cc,3,1,8,1,3,1,no
gshdzq.cc,3,5,1,1,3,2,no
pay-itsl.cc,3,1,2,1,1,1,no
icbc-ck.cc,3,1,2,1,3,1,no
sudlmaj58.com,1,0,0,2,2,2,no
sgx.cc,3,12,12,2,2,1,yes
525199.com,1,0,0,4,2,2,no
ccbhfs.cc,3,5,1,1,3,2,no
izbck.com,1,1,12,1,3,1,no
52qishi.com,1,0,0,1,2,2,yes
wap-95533-xr.cc,3,1,2,1,3,1,no
ghwef.com,1,2,2,1,3,1,no
