domain,tld,email_type,spon_registrar,keyword,httpcode,locate_cmp,web_judge_result
128800.com,1,0,0,2,2,1,no
sadkflkpppamrty.cc,3,1,2,1,3,5,no
95533gyj.cc,3,1,8,1,4,4,no
7yum.com,1,2,12,2,2,3,yes
95599-c.cn,2,1,12,1,4,1,no
xykccb.com,1,10,10,1,3,1,no
gy-95588.com,1,0,0,1,3,1,no
ccbobb.cc,3,1,8,1,4,4,no
444548.com,1,0,0,1,4,1,no
ccvbeyn.com,1,1,2,1,3,4,no
ghyfcw.com,1,2,2,1,3,4,no
jfwfhsmafgm86.com,1,12,10,1,2,1,no
cbaxin.cc,3,2,12,1,3,5,no
ccbtek.cc,3,5,1,1,3,1,no
dzhk.net,4,0,12,2,2,1,yes
l0086dyc.com,1,1,10,1,3,1,no
42878.com,1,12,7,1,4,2,yes
139cai.com,1,2,1,1,2,1,yes
fuli4.com,1,12,12,2,2,4,yes
ccbevi.cc,3,5,1,1,3,1,no
mtycac.pw,11,0,0,1,2,7,no
ijn95588.cc,3,2,8,1,3,4,no
youg888.com,1,0,0,4,2,1,no
lcbciccb.cc,3,1,1,1,3,1,no
95533px.com,1,3,10,2,3,4,no
psy-cdb.cc,3,1,4,1,3,5,no
ccgfeds.com,1,1,2,1,3,4,no
95533itwccb.com,1,2,12,1,1,2,no
cqhyfood.com,1,9,10,2,3,1,no
wljyptyx6623.com,1,0,0,1,3,7,no
gdttl.com,1,0,0,2,3,1,no
jiulhf.com,1,1,12,1,2,2,no
chnjoa.cc,3,1,8,1,3,4,no
yhgouwu.com,1,12,4,1,4,1,yes
37425.com,1,0,0,1,4,1,yes
icbc-com.pw,11,0,0,1,4,7,no
cbbcyd.cc,3,1,2,1,3,4,no
kele55.com,1,12,2,2,2,5,yes
golfreader.com,1,12,11,2,3,2,yes
icbcezj.com,1,0,0,1,3,1,no
35qp0.com,1,0,0,1,4,1,no
636565.com,1,0,0,4,2,1,no
1hkj.com,1,0,0,1,3,5,no
gsyhwr.com,1,2,2,1,3,5,no
ccbuix.cc,3,2,2,1,3,4,no
laxjyj.com,1,2,12,2,3,2,yes
m-ccbx.cc,3,1,2,1,3,7,no
ccbjas.com,1,0,0,1,4,1,no
l95588e.cc,3,5,1,1,3,1,no
icbcthg.cc,3,1,2,1,4,4,no
bbrkc.cn,2,1,12,2,2,1,no
ccbsn.cc,3,8,2,1,3,2,no
ptcms.com,1,2,7,2,2,2,yes
ccbtkj.cc,3,5,1,1,3,1,no
jwfanyi.com,1,3,2,2,2,4,yes
cxiez.cc,3,0,0,1,3,1,no
516buyu.cn,2,2,12,1,1,1,no
cnuxih.pw,11,0,0,2,2,7,no
iicbcz.com,1,2,2,1,3,5,no
2sc966.com,1,12,12,2,2,1,yes
cbsun.cc,3,5,1,1,3,1,no
icpvx.com,1,0,0,1,3,2,no
jgxfw.com,1,1,2,1,1,4,yes
psy-cuk.cc,3,0,0,1,3,1,no
68hufu.com,1,0,0,1,1,1,yes
mgm11333.com,1,0,0,4,2,1,no
555789h.com,1,0,0,2,2,1,no
899899.cc,3,0,0,2,2,1,no
l0086kvxt.com,1,2,12,1,4,4,no
psy-cgy.cc,3,1,4,4,2,1,no
cride.com,1,12,12,2,2,1,yes
tuanyuanfan.cc,3,0,0,1,3,1,yes
gsyhwx.com,1,2,4,1,3,5,no
lcbsj.com,1,0,0,1,2,1,no
httpibc.com,1,0,0,1,3,1,no
099y.com,1,5,1,2,2,1,yes
gsjfks.com,1,2,4,1,3,5,no
hz12311.com,1,2,1,2,2,1,yes
978c.com,1,1,4,2,3,3,no
intepower.com,1,8,1,2,4,1,yes
668av.com,1,12,8,2,4,2,yes
hg3099.com,1,0,0,2,2,7,no
89699.com,1,0,0,1,4,1,no
gupang.com,1,0,12,2,2,1,yes
ccbryv.cc,3,5,1,1,3,1,no
050406.com,1,0,0,4,2,1,no
hx95588.cc,3,1,4,1,2,2,no
tudou.com,1,12,1,2,2,2,yes
ccbdtf.cc,3,5,1,1,3,1,no
ccbfgu.cc,3,5,1,1,3,1,no
l0086pct.com,1,1,2,1,3,2,no
gsyhvd.com,1,2,2,1,3,2,no
kmyxje.cc,3,5,1,1,3,3,no
ciqwv.cc,3,1,6,1,4,5,no
0086hb.com.cn,2,12,12,1,3,1,yes
145-com.net,4,1,7,2,4,2,no
cqgw580.com,1,0,0,1,4,1,no
95588yhc.com,1,0,0,1,3,1,no
562570.com,1,0,0,4,2,1,no
tt170.com,1,0,0,2,4,1,yes
772138.com,1,0,0,1,4,1,no
vip95588k.com,1,1,8,1,3,4,no
43568.com,1,0,0,4,2,1,no
81397.com,1,12,11,4,2,4,no
125job.net,4,0,0,1,3,1,no
uwtyr.com,1,12,10,1,4,1,no
fzfisher.com,1,2,12,2,4,2,yes
boo-loo.net,4,12,10,1,2,1,no
ccbvkz.cc,3,5,1,1,3,1,no
diyishuadan.com,1,1,2,2,2,2,yes
1489a.com,1,0,0,1,2,1,no
yingke997.com,1,0,0,2,2,1,no
555789y.com,1,0,0,2,2,1,no
sp000.com,1,0,0,1,2,1,yes
icdcxb.cc,3,1,4,1,4,5,no
axwat.com,1,0,0,1,4,1,no
988082.com,1,0,0,4,2,1,no
wangjiang.gov.cn,2,1,12,2,2,1,yes
hdfuaweh.pw,11,0,0,1,4,7,no
95588if.cc,3,1,8,1,3,4,no
cossoo.com,1,0,0,1,3,1,no
ccbugu.cc,3,5,1,1,3,1,no
icbc-t.com,1,0,0,1,3,1,no
cbbeta.cc,3,1,6,1,3,5,no
ccbyvf.cc,3,0,0,1,3,1,no
nfiencv.cc,3,1,4,1,3,2,no
qqq258.com,1,0,0,1,1,2,no
120dvd.com,1,0,0,1,3,1,yes
icbctee.com,1,0,0,2,3,3,no
999806.com,1,0,0,1,2,1,no
ccbstar.info,6,0,0,1,3,1,no
77755.com,1,0,0,1,2,1,no
faerhgsdfagd.tk,14,0,0,1,3,1,no
sesese9.com,1,0,0,1,4,1,yes
bjsj1.pw,11,0,0,1,4,7,no
675066.com,1,0,0,2,3,1,no
icbc-fv.com,1,0,0,1,3,1,no
sksc.net,4,1,2,1,4,3,no
95588bvp.cc,3,1,12,1,4,4,no
ccbokk.cc,3,5,1,1,3,3,no
hg0008.com,1,0,3,1,1,1,no
3308.com,1,0,0,2,2,1,no
ccbktr.com,1,1,10,2,2,1,no
tyc106.com,1,0,0,4,2,1,no
775588.com,1,12,6,4,3,2,no
gdhoc.com,1,0,0,1,1,1,no
gnhclub.com,1,12,12,4,2,2,no
ccbmek.com,1,0,0,1,1,1,no
1400649108.tk,14,0,0,1,3,1,no
webtrn.cn,2,12,12,2,2,1,yes
ccbooi.cc,3,1,8,1,4,3,no
gsksjf.com,1,0,0,1,3,1,no
1799n.com,1,2,2,2,2,2,yes
0jiang.com,1,5,1,1,4,1,yes
e-fa.cn,2,3,12,1,4,1,yes
tyzclh.cn,2,3,12,2,2,7,no
ccbddn.cc,3,1,8,1,3,4,no
gshdzq.cc,3,5,1,1,3,1,no
pay-itsl.cc,3,1,2,1,1,4,no
icbc-ck.cc,3,1,2,1,3,4,no
sudlmaj58.com,1,0,0,2,2,1,no
sgx.cc,3,12,12,2,2,2,yes
525199.com,1,0,0,4,2,1,no
ccbhfs.cc,3,5,1,1,3,1,no
izbck.com,1,1,12,1,3,3,no
52qishi.com,1,0,0,1,2,1,yes
